iter	MultiClass
0	1.552579226
1	1.404285797
2	1.355253232
3	1.294881964
4	1.25328713
5	1.212800091
6	1.185596106
7	1.151077142
8	1.12790673
9	1.097079794
10	1.07584669
11	1.056970935
12	1.034239108
13	1.018685093
14	1.003889803
15	0.9945680286
16	0.9765044043
17	0.961192629
18	0.9528401383
19	0.9459071902
20	0.9411177409
21	0.9325024546
22	0.9182259206
23	0.9034820019
24	0.8904672252
25	0.8704514291
26	0.8669119289
27	0.8478105911
28	0.8447983007
29	0.8383482688
30	0.8188698684
31	0.8029784497
32	0.7890891272
33	0.7730501232
34	0.7563509345
35	0.7415500144
36	0.7270792425
37	0.7121942572
38	0.7015717407
39	0.6894114754
40	0.6772678654
41	0.6644539716
42	0.6499425781
43	0.6362826766
44	0.622244459
45	0.6081317311
46	0.5949945727
47	0.5833819568
48	0.5709992277
49	0.5598670267
50	0.5487186564
51	0.5375061676
52	0.5282395056
53	0.5187901226
